201701,20170103,453606,02330,91,4,49.44
201701,20170105,11443,05072,32,18,135.9
201701,20170104,313961,04169,31,2,22.5
201701,20170105,7631,05984,31,2,13
201701,20170104,742041,11034,31,2,16.38
201701,20170104,820041,02212,31,2,16.9
201701,20170104,821302,15090,91,2,49.86
201701,20170104,30317,08044,31,2,13.98
201701,20170103,607675,01051,91,2,20.62
201701,20170104,866634,01176,11,6,163.08
201701,20170103,723538,06014,21,2,9.98
201701,20170103,222122,02931,31,2,14.76
201701,20170102,831973,05742,11,2,35.96
201701,20170102,744939,01106,31,2,49.9
201701,20170103,716161,12106,91,4,103.68
201701,20170104,770548,03556,91,2,45.1
201701,20170106,806704,02398,41,2,19.9
201701,20170103,352120,05384,11,2,33.44
201701,20170105,772902,03287,31,2,13.8
201701,20161231,7631,02247,31,10,98.9
201701,20170105,766173,01478,31,2,35.96
201701,20170104,555662,02509,11,2,28.3
201701,20170101,320290,02553,11,2,23.7
201701,20170106,66853,07105,31,2,22.94
201701,20170102,302148,01043,31,2,9.9
201701,20170102,74924,02437,91,20,61.6
201701,20170104,840429,11009,91,2,40.62
201701,20170105,801316,17006,31,4,12.8
201701,20170105,113912,02727,11,2,29.7
201701,20170102,838546,15108,31,2,8.9
201701,20170103,738018,04077,31,2,46.9
201701,20170105,236842,02019,11,2,39.38
201701,20170101,302148,11056,31,2,10.5
201701,20170105,652507,05268,31,2,9.98
201701,20170105,401149,07070,91,2,7.66
201701,20170104,721488,03917,31,2,20.96
201701,20161231,678142,05585,31,2,7.56
201701,20170104,491172,02081,91,2,41.98
201701,20170105,339414,04469,31,2,19.34
201701,20170106,114389,02139,91,10,80.4
201701,20170103,101363,08053,91,4,152.4
201701,20170103,709887,07021,91,6,43.26
201701,20170102,765574,02537,91,2,39.88
201701,20161231,58946,04535,31,2,17.94
201701,20170106,173941,01241,91,2,4.36
201701,20170103,838745,02356,31,2,19.9
201701,20170104,320012,04365,11,2,31.1
201701,20170105,270207,03134,13,2,31.92
201701,20170102,318408,01568,31,2,9.6
201701,20161231,166071,04244,91,2,17.34
201701,20161231,470065,04479,31,2,9.64
201701,20170104,228988,02618,31,2,9.5
201701,20170104,731079,01468,91,2,39.66
201701,20161231,339632,01722,91,2,6.64
201701,20161231,313663,05422,31,2,13.8
201701,20161231,724612,05669,31,6,121.14
201701,20170106,153768,03298,21,2,21.96
201701,20170105,222122,05295,31,2,14.76
201701,20161231,765673,02772,31,8,39.6
201701,20170104,448406,03553,11,2,28.7
201701,20170105,88841,04286,91,4,14.56
201701,20170103,201640,09026,31,2,12.58
201701,20170104,709847,08387,91,2,12.46
201701,20170106,541452,06434,11,2,27.16
201701,20170103,499539,04057,11,2,60.86
201701,20161231,59288,13041,31,2,47.9
201701,20170106,798900,02173,92,2,453.96
201701,20170105,826866,02682,31,2,15.74
201701,20170104,592117,04130,31,2,5.58
201701,20170103,8716,01160,31,2,39.9
201701,20170105,725728,04485,31,2,5.68
201701,20170103,807964,07456,91,2,28.76
201701,20170105,815591,01058,91,2,3.58
201701,20170103,61585,02213,31,2,25.7
201701,20170104,542319,02501,11,2,28.14
201701,20170102,759253,01603,11,2,58.64
201701,20170105,814528,05368,11,4,66.12
201701,20170106,414154,08143,31,2,31.96
201701,20170105,710541,01273,32,4,21
201701,20170104,228196,07161,11,2,25.34
201701,20170101,639131,01638,31,2,3
201701,20170104,356828,05564,91,2,4.22
201701,20170102,330277,01157,21,2,59.9
201701,20170102,567920,17018,91,2,88.52
201701,20161231,661212,04090,11,2,53.58
201701,20170104,546168,01162,32,8,19.04
201701,20170106,646421,02909,11,2,64.14
201701,20170101,318542,01156,32,2,5.78
201701,20170104,353495,04376,13,2,24.02
201701,20161231,713641,01447,91,2,4.3
201701,20170106,617179,01461,31,2,5.7
201701,20170105,523825,05973,31,4,75.8
201701,20170102,833466,02222,91,4,12.56
201701,20170103,312072,01643,91,2,5.02
201701,20170105,288623,01142,31,2,17.9
201701,20161231,98884,08188,31,2,14.36
201701,20170105,851914,05497,31,6,111.3
201701,20161231,495898,02422,31,2,5.98
201701,20170103,840556,07366,32,2,7.98
